[197994,106998] [220020,111016]
[384930,747018] [390006,724999]
[313988,355007] [322045,333990]
[350984,150996] [372004,159018]
[975982,539974] [998009,545019]
[446977,805999] [459003,825016]
[67997,848965] [80072,868005]
[2947,585001] [15012,565998]
[449989,925004] [469000,912975]
[907999,307812] [931002,308068]
[924997,72374] [948001,72513]
[14995,104007] [27037,84992]
[533983,828015] [540025,805994]
[114995,701093] [138001,700894]
[396999,572107] [419012,565908]
[76994,598036] [94029,582998]
[36998,547987] [52016,565017]
[61982,181966] [77008,199012]
[560229,147001] [558924,123995]
[508950,961009] [520049,940998]
[685980,90966] [699023,110004]
[662851,757990] [665001,781004]
[801975,850024] [820003,835961]
[808985,632006] [818003,610993]
[803998,439186] [827004,436973]
[275988,528993] [285008,550007]
[953987,308016] [977006,306866]
[106927,271002] [116043,249993]
[489993,240983] [512037,248076]
[721996,189068] [741052,175995]
[526994,357050] [550017,353934]
[928994,492972] [952014,496146]
[765998,356996] [789004,361032]
[720999,835967] [744018,840056]
[306979,635990] [328000,646045]
[469980,912986] [490026,925033]
[253996,868009] [277006,862883]
[764998,238995] [769072,262009]
[919986,631971] [943008,637026]
[199037,785028] [188929,763994]
[407996,253970] [429026,264071]
[210986,549959] [229008,565066]
[665990,781994] [671020,805029]
[445977,170055] [463020,153937]
[185962,53015] [198028,32995]
[74998,253090] [98001,247997]
[428984,912995] [449033,925019]
[17998,932983] [40009,942114]
[589798,798996] [590068,823005]
[551997,695148] [576007,694828]
[354960,448984] [371035,466013]
[522994,882025] [534009,860981]
[327985,73963] [347008,88008]
[636927,688000] [638102,663989]
[203935,461997] [204240,486001]
[379997,955037] [389052,932995]
[317644,213002] [320050,188995]
[294992,589057] [315020,575978]
[872986,106989] [884025,128009]
[653984,234021] [674022,220951]
[676999,629987] [690020,650024]
[822981,707000] [843012,693952]
[933982,188969] [958013,191020]
[519974,556028] [537013,538994]
[544972,50994] [552002,74017]
[15996,565023] [28060,543982]
[7998,337017] [30014,326999]
[707993,813990] [720003,835023]
[922960,748996] [927025,773002]
[648025,483988] [627983,498038]
[882994,86986] [901017,103043]
[40977,942000] [60002,926964]
[136996,630917] [161000,636016]
[700938,961993] [712039,984024]
[776994,98945] [802003,99238]
[661001,681951] [636994,688026]
[279994,996035] [304000,990965]
[107994,191990] [117040,215009]
[934963,415998] [944022,439024]
[948996,72193] [974001,71722]
[780996,578992] [805015,585026]
[633920,885989] [643000,909005]
[62994,426006] [88002,426271]
[459992,825212] [485004,822987]
[101994,610044] [123008,596999]
[889999,326026] [907022,307997]
[575994,99016] [593000,80987]
[836992,219010] [860004,208916]
[89928,503005] [102009,480985]
[194992,699019] [215010,683983]
[398998,146981] [413021,168037]
[181941,287997] [186049,313006]
[675926,938996] [681081,964002]
[296974,855970] [318001,870012]
[5982,47987] [31003,52026]
[85994,710001] [111000,704978]
[192998,985973] [218007,991005]
[412988,765011] [427025,743991]
[205981,783963] [227010,798001]
[438998,600997] [458044,618008]
[38987,179018] [50025,155999]
[616994,876017] [635015,857988]
